true,predict
4.0,3.503458603050823
4.0,3.6681162960223883
4.0,3.5723133462553722
4.0,2.5080559957284327
2.0,2.7025636870205956
4.0,4.0
4.0,3.900740206659742
4.0,4.0
4.0,4.0
4.0,4.0
1.0,1.0
1.0,1.0
3.0,2.9999477859690553
4.0,3.6023962516912587
4.0,3.9172169129694745
4.0,3.778995778368484
4.0,3.402781423386543
4.0,4.0
1.0,1.0
3.0,3.0
3.0,3.0002446456953713
4.0,3.6040283491511262
3.0,3.5933457243656863
1.0,1.0
1.0,1.0
4.0,4.0
1.0,2.537203330257395
4.0,3.574103226072378
4.0,3.2162235607473897
4.0,3.9173445577491526
4.0,4.0
1.0,1.0
4.0,4.0
4.0,3.5726666590460545
4.0,3.2179926113130053
4.0,4.0
4.0,3.079890664227095
4.0,3.6657144601031417
2.0,2.3330027359735483
4.0,3.65547011134917
4.0,3.9098823975792953
4.0,4.0
1.0,1.0
4.0,3.50238918013625
4.0,2.8806801494190752
4.0,3.457036220547747
4.0,3.3794318248049198
4.0,3.585612914393235
4.0,3.6686892210668614
4.0,3.0756232514746458
4.0,4.0
1.0,1.0
4.0,3.2779221950166293
4.0,3.813912711248473
4.0,3.8342559329010992
3.0,2.839942901771247
3.0,3.521799247057019
4.0,3.7211800685852077
4.0,3.7799479426014875
4.0,4.0
1.0,1.0
4.0,3.9172169129694745
4.0,3.64893892384834
4.0,3.5736662614698855
4.0,2.608360659629396
1.0,1.0
4.0,3.881272270671397
2.0,2.180275752865509
3.0,2.7504170662007645
3.0,2.7913849042874
4.0,3.7525216030334607
4.0,3.8199132516991825
4.0,4.0
1.0,1.0
1.0,1.9915014157068283
3.0,3.0
1.0,3.4835910533819487
4.0,3.9006676769596913
4.0,3.6489951951934456
3.0,2.7871271665850057
4.0,3.900635426361133
4.0,4.0
2.0,3.4899437483546354
3.0,2.8997848945747124
3.0,3.620361380038854
2.0,3.5590445110844335
4.0,3.502010296819908
3.0,3.2847877689098546
1.0,2.9879661268301363
4.0,3.5031897701622414
4.0,3.006499806745443
3.0,3.0
4.0,2.6419129480561576
4.0,2.411072044595608
4.0,3.504735710235924
4.0,4.0
4.0,3.729558706675717
4.0,3.649763022484054
4.0,4.0
4.0,3.771051469244188
4.0,3.4051853829360437
4.0,3.1889545325177036
4.0,2.9089412383816633
4.0,3.7022354161388735
4.0,3.405595469969998
4.0,3.779728147026834
4.0,4.0
4.0,3.5025863760985922
4.0,4.0
4.0,3.504636658708856
4.0,4.0
3.0,3.0
4.0,3.901148312724452
4.0,3.4563795806124147
4.0,2.3014727521129448
4.0,3.5046034291827204
4.0,3.694774070508583
4.0,3.503458603050823
4.0,3.6693894232408186
4.0,3.813635165528292
4.0,3.787477399753604
3.0,2.858164809371532
4.0,3.0685238373696766
4.0,3.403270669753403
4.0,4.0
1.0,3.654257492530133
4.0,3.728308799844371
4.0,3.5742804459606483
3.0,3.0
4.0,2.6737742625022998
4.0,3.317232273469358
4.0,4.0
4.0,2.247331689955088
3.0,2.786228947153676
4.0,3.6023418255094315
4.0,3.402725008665332
4.0,3.6683410931797193
4.0,4.0
4.0,3.7291808000817324
4.0,3.779042618391966
4.0,3.6472514574940647
4.0,3.7704925402764653
4.0,3.8761464245748147
1.0,3.1592869753032513
4.0,4.0
4.0,4.0
4.0,4.0
1.0,2.655261235456786
4.0,2.784087149138492
4.0,3.686646706151312
4.0,3.149485194738958
4.0,3.6650658769108024
4.0,3.6688483731899155
3.0,2.900895741556655
4.0,3.257176658681841
4.0,3.6687307838385825
4.0,4.0
3.0,3.0
4.0,3.0084303011793834
4.0,3.5424705703579984
4.0,3.320020706424851
4.0,4.0
1.0,2.2297807325585794
3.0,3.6615098245549955
4.0,4.0
4.0,3.669429672273814
4.0,3.813602917805224
4.0,3.526889773514881
4.0,1.3027451360876212
4.0,4.0
4.0,3.5586283858603585
2.0,3.040998581305541
4.0,4.0
4.0,3.378963319166481
4.0,3.6683410931797193
3.0,2.999947791237901
3.0,3.9122100889802
4.0,3.6025743899005755
4.0,3.668012714728406
4.0,3.917264483898264
4.0,3.4190912949468415
4.0,4.0
4.0,4.0
3.0,2.9996756111394407
1.0,2.7546197432118538
4.0,3.6687307838385825
4.0,4.0
4.0,4.0
4.0,3.694069534755331
3.0,3.079298842904554
4.0,2.7883867896755965
4.0,3.6869162818751304
4.0,3.0562535675379676
4.0,3.729446288242244
4.0,4.0
2.0,3.6856008620208316
4.0,3.668012714728406
4.0,3.420864571923931
4.0,3.5414856585207164
4.0,3.900825201524167
4.0,3.875854136889765
4.0,3.8676531880381577
4.0,3.0893175583187285
4.0,3.6682132639637524
4.0,4.0
2.0,1.8198598793628469
4.0,3.8896095536717863
4.0,3.5021038986133686
4.0,3.6688855662453967
4.0,3.8898389773092386
1.0,3.564097578021538
4.0,4.0
4.0,3.729310470527184
4.0,3.812919603260438
4.0,3.0028639908739208
4.0,3.403872326386234
4.0,3.3459166659707567
