true,predict
4.0,3.6273815490066386
4.0,3.69372629920158
4.0,4.0
4.0,2.755933740625216
2.0,2.702591347377039
4.0,2.7220676113351034
4.0,3.6693121693121693
3.0,3.0
4.0,3.9007606532879957
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
1.0,1.0
1.0,1.0
4.0,3.420751465411601
3.0,2.999984390170256
4.0,3.4039237695118407
4.0,3.923553504702015
4.0,3.7790831741708217
4.0,3.36790805666842
4.0,4.0
1.0,1.0
1.0,1.0
4.0,4.0
4.0,3.626906878216966
4.0,3.1566026523279023
4.0,4.0
4.0,3.214901990553702
4.0,3.4213572402461145
4.0,4.0
4.0,4.0
4.0,4.0
1.0,1.0
4.0,4.0
4.0,3.625611484952268
4.0,3.1583697517732325
4.0,4.0
4.0,3.337527430972077
4.0,3.0695316360012197
1.0,2.8764602844806713
4.0,4.0
2.0,2.5537675880075197
4.0,3.3807708126315226
4.0,3.6684704566087976
4.0,3.909137262064147
4.0,3.9098672670188965
4.0,4.0
1.0,1.0
4.0,3.62658800690323
4.0,4.0
4.0,2.632184649449708
4.0,3.819224819548859
4.0,3.585612914393235
4.0,3.7018214101141207
3.0,3.0
4.0,3.0756321010319834
1.0,1.0
4.0,3.3888089672601773
4.0,3.3377410932420237
4.0,3.5747691908880324
4.0,3.669294491010115
3.0,2.912959820852816
3.0,3.566991531350438
4.0,3.555605763370925
4.0,3.7525462038835116
4.0,3.8894770093242648
4.0,3.933884911914758
4.0,4.0
1.0,1.0
2.0,3.326207919371774
4.0,3.6696837159726368
4.0,3.8808689635532807
4.0,3.950497364493498
4.0,4.0
4.0,4.0
1.0,1.0
4.0,3.923553504702015
1.0,1.0
4.0,3.8987988777520974
2.0,2.145776927134376
3.0,2.750346995673362
3.0,2.8011716024943976
4.0,3.8019603110614533
4.0,4.0
1.0,1.0
3.0,2.7023335273066866
3.0,1.9433278425699045
1.0,1.0
3.0,3.0
1.0,3.606950220970316
4.0,3.900688138528413
4.0,3.502700679098256
3.0,2.819366609333902
4.0,3.9006150647873796
4.0,4.0
4.0,4.0
4.0,3.628225531908096
4.0,3.0062091681861904
3.0,2.889699358936801
4.0,2.6975152055618405
4.0,2.411121248848036
4.0,3.9007270294072987
4.0,3.6284033179500255
4.0,4.0
4.0,3.4197482609799694
4.0,3.503791303117357
4.0,4.0
4.0,2.8981820661644204
4.0,4.0
3.0,2.791099413112396
4.0,3.575198147449883
4.0,3.2069874809264745
4.0,4.0
4.0,2.651692610803324
4.0,4.0
4.0,3.405604871313931
4.0,3.6267457539792525
4.0,3.644230654428899
4.0,4.0
4.0,3.628324070275802
4.0,4.0
3.0,3.4129751128477004
4.0,3.8677059277160604
4.0,3.359867886618188
4.0,2.761662215235802
4.0,3.2920741016904613
4.0,3.7293732889982985
4.0,3.6273815490066386
4.0,2.7138045489190006
4.0,4.0
4.0,3.5741664578634174
3.0,2.8089863044865075
4.0,3.5025332339591366
4.0,4.0
1.0,3.679874652299465
4.0,3.419493141295913
4.0,3.32104350328292
4.0,2.880499221315015
4.0,3.431169114254876
4.0,4.0
4.0,2.3295483476078047
3.0,2.857548349495887
4.0,3.693935170172594
4.0,3.4209598618334343
4.0,3.501936303123455
3.0,2.8014103816191636
4.0,4.0
4.0,4.0
4.0,3.9008574769104585
4.0,4.0
4.0,4.0
1.0,2.892424648056831
4.0,2.6740416096016775
4.0,3.6498476019401913
4.0,3.4044772643122645
4.0,4.0
4.0,3.6943049599322513
4.0,3.629050676326306
4.0,3.6941382443418007
4.0,2.799473146034388
4.0,3.7522808201275457
4.0,3.4334922275572186
4.0,4.0
1.0,2.317699732291358
3.0,3.687021800754525
2.0,2.496819410946971
3.0,2.7798944303180684
4.0,3.6938049133935866
4.0,3.9007789270618494
4.0,4.0
4.0,4.0
4.0,3.900517954670685
4.0,4.0
3.0,2.8858550317848337
4.0,3.817977872963012
4.0,3.649764483978709
4.0,3.909813028052438
4.0,2.5518554223222933
4.0,3.6939784137544582
4.0,4.0
4.0,4.0
4.0,3.817920069709301
4.0,3.6499666946037084
4.0,2.9060449738089322
4.0,3.504045896557638
4.0,3.693730187191191
4.0,4.0
4.0,3.6686333376701623
4.0,4.0
4.0,3.0962347144572875
4.0,3.501107933218765
4.0,3.4562213556956323
4.0,3.693935170172594
3.0,2.9999843916817936
3.0,3.918591367151522
4.0,3.6685803201479157
4.0,3.6934798236059905
4.0,3.751974837615283
4.0,3.751755713227975
4.0,4.0
4.0,3.9096540261192274
4.0,3.8473507495609196
4.0,3.1597322395167953
4.0,3.693728680505998
2.0,1.7518410866846463
4.0,4.0
4.0,2.7229862836358616
4.0,3.094300542665952
4.0,3.252898434521151
4.0,3.694341684673968
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.215937910124452
4.0,3.502683704214984
4.0,3.187295348285998
4.0,3.006324601190048
3.0,3.314720574634219
4.0,4.0
4.0,3.669021413614062
4.0,3.5479931994840097
4.0,3.5037710253908676
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.933690708267416
4.0,3.006213124861078
4.0,3.752023195635511
4.0,2.329941667333071
3.0,3.044369602864144
4.0,3.6498476019401913
4.0,2.80679272387754
4.0,3.502674039800458
3.0,3.000213010810836
3.0,2.9015324193367213
4.0,4.0
3.0,3.3079527320965876
4.0,3.502683704214984
4.0,3.9005055565617495
4.0,2.7171613182886847
4.0,2.708882632702136
3.0,1.7239614442083986
4.0,4.0
4.0,4.0
4.0,3.9236872201757724
4.0,3.0702904369686017
4.0,2.8780113822370375
4.0,4.0
4.0,4.0
4.0,3.752511301556995
4.0,4.0
4.0,3.5489637312538687
4.0,3.6694587911284167
4.0,3.6468382193662294
3.0,2.392332874990933
4.0,3.3041791709962647
4.0,3.62818103793782
4.0,4.0
3.0,3.0
4.0,4.0
4.0,4.0
4.0,3.6498687273681143
4.0,3.909824146143091
3.0,3.842138371114939
3.0,2.9016097677690187
3.0,2.1700212677150543
4.0,2.8790833324331135
4.0,3.602843383252917
4.0,4.0
4.0,4.0
4.0,3.466727465674393
4.0,3.689942758866706
4.0,4.0
4.0,3.909993575294089
2.0,3.4863690137452683
4.0,3.5492376267604775
3.0,3.6940745465372133
2.0,3.4464060166730754
4.0,4.0
1.0,2.738627921929749
1.0,1.0
3.0,2.5028624924180254
3.0,2.750460743422952
2.0,2.6778369362990846
4.0,4.0
1.0,2.738413077853842
4.0,4.0
2.0,3.1194219704056114
4.0,3.618065826230616
2.0,3.1580003480012033
2.0,2.3309588192636754
