true,predict
4.0,3.420990102447458
4.0,3.5030631820348863
4.0,3.917187887839866
4.0,3.9004467636387448
4.0,3.4639386702551254
4.0,4.0
1.0,1.0
3.0,3.0
3.0,2.7509596793000437
4.0,2.433409073765242
4.0,3.5602211064042133
3.0,2.858532816099086
3.0,3.577014668770139
4.0,4.0
1.0,1.0
4.0,4.0
1.0,2.3420882751692766
4.0,3.5736081028401805
4.0,2.9202030196877016
4.0,3.9173416129649286
4.0,3.2632699656034188
4.0,3.4339535940566015
4.0,4.0
4.0,4.0
4.0,4.0
1.0,1.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.2894744659917765
4.0,3.3100854753487976
1.0,2.8764606377394726
4.0,3.7001000307173384
4.0,3.752406931580831
4.0,3.7099534991316347
4.0,4.0
4.0,3.9008064816201498
1.0,1.0
4.0,3.7019307916961672
4.0,2.6734621893454653
4.0,3.5473611884539276
4.0,3.172951838548427
4.0,3.404464301107578
3.0,3.0
4.0,3.0708644904139772
4.0,4.0
1.0,1.0
4.0,3.6026628996427603
4.0,3.6275365681336753
4.0,3.6899294817990445
4.0,3.694627929164542
3.0,2.8496483744107084
3.0,3.5763953021679527
4.0,3.5555320605967715
4.0,3.8828969783254896
4.0,3.9237061163159406
1.0,1.0
2.0,3.6163820934497193
3.0,3.877834293113395
1.0,3.2506246138915587
4.0,3.849455523505301
4.0,3.8018364899028083
4.0,3.871890119249649
4.0,3.956936912110494
4.0,4.0
1.0,1.0
4.0,3.917187887839866
4.0,3.638284274562977
4.0,4.0
4.0,2.5542012622812154
1.0,1.0
4.0,3.881306716993579
3.0,2.998848640562484
3.0,2.837759882554654
4.0,3.4055415723313387
4.0,4.0
4.0,4.0
1.0,1.0
3.0,2.172301971923175
1.0,1.0
1.0,2.1342751410114738
4.0,3.448182125011906
4.0,3.7004123860389875
4.0,2.6435906624102774
2.0,2.7238337788196416
4.0,2.8813933268393925
4.0,3.801353504805611
3.0,3.0
4.0,3.889625713795455
4.0,4.0
4.0,4.0
4.0,4.0
1.0,3.428067896057349
4.0,3.889625713795455
4.0,3.6383446326486713
4.0,3.9005566821780904
4.0,4.0
2.0,3.4346362148238745
3.0,2.867024900387382
3.0,3.661671870175652
4.0,3.446769248584119
4.0,3.433187405886201
3.0,3.165746007163142
4.0,3.366406048787282
4.0,3.768610449388939
4.0,3.448046200686671
4.0,2.867881532656871
4.0,2.6219585907071394
4.0,3.8954951324789624
4.0,3.4496416461647748
4.0,3.4202129273915447
4.0,3.6391377796267794
4.0,4.0
4.0,3.5037585158909876
3.0,3.0000412800674763
4.0,3.669535012690406
4.0,3.2292836550440347
4.0,3.7031728578598986
4.0,2.700762723451276
4.0,3.6692085190539157
4.0,3.5046651460423277
4.0,3.834780880139034
4.0,4.0
4.0,3.446946096919598
4.0,3.693533901959518
4.0,4.0
4.0,3.449528446739804
3.0,3.4134013864846398
3.0,3.0
4.0,3.5040680832098237
4.0,3.009058550708267
4.0,3.586631255670627
4.0,3.448182125011906
4.0,2.735056786791363
4.0,3.6893453952053004
4.0,3.771186743843673
3.0,2.863066692393002
4.0,3.0683716872404156
4.0,3.5356124859861837
4.0,4.0
1.0,3.6033917892466722
4.0,3.5742665735512205
3.0,3.0
4.0,3.222912962527599
4.0,3.909664818240246
4.0,4.0
4.0,2.1951043773665706
3.0,2.823940940827143
4.0,3.6273066621839227
4.0,3.2897585939281173
4.0,3.6180844314855047
3.0,2.889753649405243
4.0,3.617983959352354
4.0,4.0
3.0,3.0
4.0,3.0088139163354293
4.0,3.2915559492082664
4.0,4.0
1.0,2.1838650657471055
3.0,3.6107035803941794
4.0,3.689413284190235
4.0,3.5816460261814
4.0,1.332712487420914
4.0,4.0
4.0,4.0
4.0,3.0071755382309693
4.0,3.9097149251175463
4.0,3.668725734570777
3.0,2.801336322293009
4.0,3.4037067510920327
3.0,3.6107035803941794
2.0,2.567831430576091
3.0,2.7798944303180684
4.0,3.617307743738303
4.0,4.0
4.0,3.895297513622782
4.0,4.0
3.0,2.44216712761866
4.0,3.929153934087237
4.0,3.8240756494998154
4.0,3.6174971225138437
4.0,3.6929108389146457
