true,predict
4.0,3.379358932644125
4.0,3.801294050471106
4.0,3.7274612909407696
4.0,2.607125057323844
4.0,3.5029835166964456
4.0,3.779405028722266
3.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
1.0,1.0
3.0,3.0
4.0,2.5156829761404684
4.0,3.7799651316803633
3.0,2.876142645092935
3.0,3.439433871186334
4.0,3.941716509429721
1.0,1.0
4.0,3.377946780044908
4.0,3.751585041911413
4.0,3.4026059265089814
4.0,3.574265486220163
4.0,3.558081193872924
3.0,3.0
4.0,4.0
1.0,1.0
3.0,3.807728499029056
1.0,3.1425516261384043
4.0,3.8287557364353497
4.0,3.6035071032405877
4.0,3.858196396074607
4.0,3.9528522752705757
4.0,4.0
1.0,1.0
4.0,3.6774815837718062
4.0,3.6687762687480387
4.0,2.633621782040297
1.0,1.0
3.0,2.819791538353479
1.0,1.0
1.0,2.0915407749245687
3.0,3.0
1.0,3.358927604607803
4.0,3.9005769653026565
4.0,3.677527675930969
3.0,2.8472065163700533
4.0,4.0
4.0,4.0
2.0,3.365186432288294
3.0,2.893711935051866
3.0,3.661706926001867
2.0,3.764041257380087
4.0,3.3772316897158783
4.0,3.458538377455944
3.0,3.090465005561124
1.0,3.403294107228547
4.0,3.2761599131498707
4.0,3.811952742418047
4.0,3.3810608123173513
4.0,4.0
4.0,3.6781921091001566
4.0,3.098610274991773
4.0,3.771051469244188
3.0,2.7241755918828696
4.0,3.256795974530959
4.0,3.1506423209236725
4.0,3.703188811241397
4.0,3.702294031306105
4.0,3.6703598926383902
4.0,3.779728147026834
4.0,4.0
4.0,3.380928815737515
4.0,4.0
3.0,3.4957715626663846
3.0,3.0
4.0,3.814151476495969
4.0,3.4563960955530137
4.0,2.844855175524873
4.0,3.3806059778929365
4.0,3.379358932644125
4.0,2.7267800536343403
4.0,3.7521235136413735
4.0,4.0
4.0,3.1170021887105084
4.0,3.4688214747265853
4.0,3.801353235667219
4.0,4.0
4.0,3.503817914271276
4.0,3.8896447799725866
4.0,3.677631535298509
3.0,2.7841815676625044
4.0,3.7704925402764653
4.0,4.0
4.0,3.8897834688559096
1.0,3.24210724457354
4.0,4.0
4.0,4.0
1.0,2.5653626159207152
4.0,2.7841689547860544
4.0,3.7870564937367037
4.0,3.4326701181057517
4.0,3.834983731938714
4.0,4.0
3.0,3.794506644434862
4.0,4.0
4.0,4.0
4.0,3.5484525415681007
4.0,4.0
4.0,4.0
4.0,3.503558351714009
2.0,3.0349632200352032
4.0,3.627413314587744
3.0,2.834189222237204
3.0,3.794506644434862
2.0,2.397218975563413
4.0,3.801360514697417
4.0,3.900636191614002
4.0,4.0
4.0,4.0
4.0,3.8953222628838438
3.0,2.81452945176381
4.0,3.6934890300280214
4.0,3.787049557297928
4.0,3.9236737622543143
4.0,2.5891368198456637
4.0,3.8750769238130247
4.0,3.801477542875871
4.0,3.7200932822012422
4.0,4.0
4.0,3.693545141044413
4.0,3.7871585024564447
4.0,2.90595303793691
4.0,3.501789644867031
4.0,3.60276824161567
4.0,3.8011963685325605
4.0,4.0
4.0,3.448341703215706
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.186424521842371
4.0,3.3860086993335
3.0,2.6361759202034154
4.0,3.501262206698647
4.0,3.8011291609911537
4.0,4.0
4.0,3.2529145486884894
4.0,4.0
4.0,4.0
3.0,2.770246720904675
4.0,3.8015672024867677
4.0,4.0
4.0,3.9291972001559667
4.0,3.4652506771627896
4.0,2.7887464274030638
4.0,3.7873840584889655
4.0,3.0076769651527036
4.0,3.787343604170854
4.0,3.729501413681481
4.0,3.378038583195806
2.0,3.611189963272817
4.0,3.8016086354081815
1.0,3.7200932822012422
4.0,4.0
4.0,3.573647226424953
4.0,2.9266326244359404
4.0,3.255108791726262
4.0,3.2440437622290577
4.0,3.8898024090258607
4.0,4.0
1.0,2.6133256548038246
4.0,2.6335561200446347
4.0,3.458051974752017
4.0,3.7259979445862115
4.0,3.1863613904179404
3.0,3.076792594959629
4.0,3.7292197999645227
4.0,4.0
4.0,3.503746054755514
4.0,3.443418632040033
4.0,3.6774815837718062
4.0,3.106115947040943
4.0,3.1170021887105084
4.0,4.0
3.0,3.236266715531506
4.0,4.0
4.0,3.7514554930046793
4.0,3.006158539712598
4.0,3.786954003997712
4.0,3.128680817428516
4.0,3.25560034595788
4.0,3.9236806744306896
4.0,4.0
4.0,3.7273472587507985
4.0,4.0
4.0,4.0
4.0,3.9289854189011346
4.0,3.4200824895598045
4.0,4.0
3.0,3.0774986363895067
4.0,3.4573525841018653
3.0,2.8899854150949036
3.0,2.901440966686298
4.0,3.834366768066887
4.0,3.7298103198297863
4.0,3.8893075231987093
4.0,4.0
4.0,2.636651123170241
4.0,3.9238501535503456
4.0,3.107777483697967
4.0,3.5745054247500603
4.0,3.008503840923019
4.0,3.7292197999645227
3.0,3.161434988341675
4.0,3.6774815837718062
4.0,3.8953233245010637
4.0,3.2486802551982965
4.0,3.304060940726373
4.0,3.098029931807467
4.0,3.7298103198297863
4.0,2.6744223690959905
4.0,3.1726432051749422
4.0,3.098251330938851
4.0,3.7709142427261866
4.0,3.702989334724504
4.0,4.0
4.0,3.243459045401941
4.0,4.0
4.0,4.0
4.0,3.7294766186405064
4.0,3.787335038758195
4.0,3.5587577201934364
4.0,3.2291876662973964
4.0,3.4647103840073425
4.0,3.7273240066577533
4.0,3.787067114297349
4.0,3.923682861423718
3.0,3.871844296343686
3.0,2.00432121608403
4.0,3.0038749851472755
4.0,3.6689340792008522
4.0,3.7298103198297863
4.0,4.0
4.0,3.4600080662245722
4.0,3.6693946491309917
4.0,3.7294774714122685
4.0,3.9238274867439826
2.0,3.4410895233514447
3.0,3.566712396262141
2.0,3.541933477001581
4.0,3.7298103198297863
4.0,3.3678175392189407
1.0,2.5895850807877907
1.0,1.0
3.0,2.779103526059281
4.0,2.6094526304566648
4.0,3.5313807690857217
4.0,3.2557408008612745
4.0,4.0
4.0,3.9567720856754574
4.0,4.0
4.0,3.4699488601254647
4.0,3.819510399622443
1.0,2.5860837920635884
3.0,2.7795961098713393
4.0,3.006399172426539
1.0,2.5888252192202637
4.0,3.668894226395148
1.0,2.5860538112806872
2.0,2.5983907581599723
3.0,2.8198421225295975
3.0,2.2043975156121074
3.0,2.9098008434357596
4.0,2.612515510125262
2.0,2.030956480549841
4.0,3.586911528413019
4.0,2.3026030490041935
4.0,3.7296505415511874
4.0,2.54771929792987
4.0,3.8019224034554053
4.0,1.6832581051412754
3.0,3.0
4.0,2.6094526304566648
4.0,3.5033027662049485
4.0,3.5585436292745403
4.0,3.6942771924422173
4.0,4.0
4.0,3.875920116017054
4.0,2.0097713266576394
4.0,4.0
4.0,2.612515510125262
4.0,3.956836204314498
4.0,2.579581735931967
4.0,4.0
4.0,3.4693357048223525
3.0,2.5018574145357713
4.0,2.7231405265393347
3.0,3.7708424900574937
4.0,4.0
3.0,3.3545548577338784
4.0,3.752096974391441
2.0,3.100615799564957
3.0,3.16528003534902
4.0,3.6697711026868576
3.0,2.7201228127885093
4.0,4.0
4.0,3.188169546908413
4.0,3.504327371733247
4.0,4.0
2.0,3.2391663700893454
3.0,2.66967861337471
2.0,2.716586929754449
3.0,2.7516475400000098
3.0,3.0828956123999074
3.0,2.4318664609895664
4.0,4.0
3.0,2.717502289635441
